work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Software Engineer,Full Time,Business Intelligence Engineer,225000,USD,225000,United States,0,United States,M
2023,Software Engineer,Full Time,Business Intelligence Engineer,156400,USD,156400,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,200000,USD,200000,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,130000,USD,130000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Strategist,90000,USD,90000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Strategist,72000,USD,72000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Engineer,253200,USD,253200,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,90700,USD,90700,United States,0,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,342810,USD,342810,United States,0,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,184590,USD,184590,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,162500,USD,162500,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,130000,USD,130000,United States,0,United States,M
2023,Management Information,Full Time,Data Analyst,105380,USD,105380,United States,0,United States,M
2023,Management Information,Full Time,Data Analyst,64500,USD,64500,United States,0,United States,M
2023,EN,Full Time,Data Quality Analyst,100000,USD,100000,NG,100,NG,L
2023,EN,Full Time,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L
2022,Management Information,Full Time,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,L
2023,EN,Full Time,Applied Scientist,204620,USD,204620,United States,0,United States,L
2023,EN,Full Time,Applied Scientist,110680,USD,110680,United States,0,United States,L
2023,Software Engineer,Full Time,Data Engineer,270703,USD,270703,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,221484,USD,221484,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,212750,USD,212750,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,185000,USD,185000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,262000,USD,262000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,245000,USD,245000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,275300,USD,275300,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,183500,USD,183500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,218500,USD,218500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,199098,USD,199098,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,203300,USD,203300,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,123600,USD,123600,United States,100,United States,M
2023,Software Engineer,Full Time,Research Engineer,189110,USD,189110,United States,0,United States,M
2023,Software Engineer,Full Time,Research Engineer,139000,USD,139000,United States,0,United States,M
2023,EX,Full Time,Data Scientist,258750,USD,258750,United States,0,United States,M
2023,EX,Full Time,Data Scientist,185000,USD,185000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,231500,USD,231500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,166000,USD,166000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,172500,USD,172500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,110500,USD,110500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,238000,USD,238000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,176000,USD,176000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,237000,USD,237000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,201450,USD,201450,United States,100,United States,M
2023,Software Engineer,Full Time,Applied Scientist,309400,USD,309400,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,159100,USD,159100,United States,0,United States,L
2023,Software Engineer,Full Time,Data Engineer,115000,USD,115000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,81500,USD,81500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,237000,USD,237000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,201450,USD,201450,United States,100,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,280000,USD,280000,United States,0,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,210000,USD,210000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Architect,280100,USD,280100,United States,100,United States,M
2023,Software Engineer,Full Time,Data Architect,168100,USD,168100,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,193500,USD,193500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,139000,USD,139000,United States,100,United States,M
2023,Management Information,Full Time,Data Scientist,510000,HKD,65062,HK,0,HK,L
2023,Software Engineer,Full Time,Machine Learning Engineer,150000,USD,150000,Portugal,100,United States,M
2023,Management Information,Full Time,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S
2022,EN,Full Time,AI Developer,300000,USD,300000,IN,50,IN,L
2023,Management Information,Full Time,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L
2023,Software Engineer,Full Time,Business Intelligence Engineer,185900,USD,185900,United States,0,United States,M
2023,Software Engineer,Full Time,Business Intelligence Engineer,129300,USD,129300,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,225000,USD,225000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,175000,USD,175000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,185000,USD,185000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,140000,USD,140000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,45000,EUR,48289,ES,0,ES,M
2023,Software Engineer,Full Time,Data Scientist,36000,EUR,38631,ES,0,ES,M
2023,Software Engineer,Full Time,Data Scientist,105000,USD,105000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,70000,USD,70000,United States,0,United States,M
2023,EN,Full Time,Machine Learning Engineer,163196,USD,163196,United States,0,United States,M
2023,EN,Full Time,Machine Learning Engineer,145885,USD,145885,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,217000,USD,217000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,185000,USD,185000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,202800,USD,202800,United States,0,United States,L
2023,Software Engineer,Full Time,Data Analyst,104300,USD,104300,United States,0,United States,L
2023,Software Engineer,Full Time,Data Analyst,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,65000,USD,65000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,165000,USD,165000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,132300,USD,132300,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,179170,USD,179170,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,94300,USD,94300,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,152500,USD,152500,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,116450,USD,116450,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,247300,USD,247300,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,133800,USD,133800,United States,0,United States,M
2023,Software Engineer,Full Time,Research Engineer,203000,USD,203000,United States,0,United States,M
2023,Software Engineer,Full Time,Research Engineer,133000,USD,133000,United States,0,United States,M
2023,EN,Full Time,Research Scientist,220000,USD,220000,United States,50,United States,L
2022,EN,Full Time,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S
2023,Software Engineer,Full Time,Data Scientist,150000,USD,150000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,120000,USD,120000,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,289800,USD,289800,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,214000,USD,214000,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,179820,USD,179820,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,143860,USD,143860,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,283200,USD,283200,United States,100,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,188800,USD,188800,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,289800,USD,289800,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,214200,USD,214200,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,185900,USD,185900,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,129300,USD,129300,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,252000,USD,252000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,129000,USD,129000,United States,0,United States,M
2023,Management Information,Full Time,Data Analytics Manager,155000,USD,155000,United States,0,United States,M
2023,Management Information,Full Time,Data Analytics Manager,140000,USD,140000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,161800,USD,161800,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,141600,USD,141600,United States,100,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,342300,USD,342300,United States,0,United States,L
2023,Software Engineer,Full Time,Machine Learning Engineer,176100,USD,176100,United States,0,United States,L
2023,Management Information,Full Time,Data Engineer,100000,USD,100000,United States,100,United States,M
2023,Management Information,Full Time,Data Engineer,70000,USD,70000,United States,100,United States,M
2023,EN,Full Time,Data Engineer,85000,USD,85000,United States,0,United States,M
2023,EN,Full Time,Data Engineer,65000,USD,65000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,138784,USD,138784,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,83270,USD,83270,United States,100,United States,M
2023,EN,Full Time,Data Analyst,75000,USD,75000,United States,0,United States,M
2023,EN,Full Time,Data Analyst,70000,USD,70000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,204500,USD,204500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,138900,USD,138900,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,318300,USD,318300,United States,100,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,212200,USD,212200,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,95000,USD,95000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,75000,USD,75000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,195000,USD,195000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,160000,USD,160000,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,230000,USD,230000,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,143200,USD,143200,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,100000,USD,100000,United States,100,United States,M
2023,Management Information,Full Time,Data Engineer,70000,USD,70000,United States,100,United States,M
2023,Management Information,Full Time,Business Data Analyst,105000,USD,105000,United States,50,United States,L
2023,Management Information,Full Time,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L
2023,Management Information,Full Time,Data Analyst,38000,GBP,46178,Great Britain ,0,Great Britain ,M
2023,Management Information,Full Time,Data Analyst,35000,GBP,42533,Great Britain ,0,Great Britain ,M
2023,Software Engineer,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,115000,USD,115000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,168400,USD,168400,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,105200,USD,105200,United States,0,United States,M
2023,Software Engineer,Full Time,Applied Scientist,309400,USD,309400,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,159100,USD,159100,United States,0,United States,L
2023,Software Engineer,Full Time,Machine Learning Engineer,190000,USD,190000,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,150000,USD,150000,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,162500,USD,162500,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,130000,USD,130000,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,150000,USD,150000,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,120000,USD,120000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,120000,USD,120000,United States,0,United States,M
2023,Software Engineer,Full Time,Applied Scientist,222200,USD,222200,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,136000,USD,136000,United States,0,United States,L
2023,Software Engineer,Full Time,Data Analyst,45000,GBP,54685,CF,100,CF,M
2023,Software Engineer,Full Time,Data Analyst,35000,GBP,42533,CF,100,CF,M
2023,Software Engineer,Full Time,Data Engineer,241000,USD,241000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,155000,USD,155000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,220000,USD,220000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,190000,USD,190000,United States,100,United States,M
2023,Management Information,Full Time,Data Scientist,55000,GBP,66837,Great Britain ,0,Great Britain ,M
2023,Management Information,Full Time,Data Scientist,45000,GBP,54685,Great Britain ,0,Great Britain ,M
2020,EX,Full Time,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
2023,Management Information,Full Time,ETL Engineer,70000,GBP,85066,Great Britain ,100,Great Britain ,M
2023,Management Information,Full Time,ETL Engineer,47500,GBP,57723,Great Britain ,100,Great Britain ,M
2023,EN,Full Time,Data Analyst,85000,USD,85000,United States,100,United States,M
2023,EN,Full Time,Data Analyst,75000,USD,75000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,160000,USD,160000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,140000,USD,140000,United States,0,United States,M
2023,Management Information,Full Time,Machine Learning Engineer,300000,USD,300000,United States,0,United States,M
2023,Management Information,Full Time,Machine Learning Engineer,250000,USD,250000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,228000,USD,228000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,186000,USD,186000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,190000,USD,190000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,170000,USD,170000,United States,0,United States,M
2023,Management Information,Full Time,Research Engineer,230000,USD,230000,United States,0,United States,M
2023,Management Information,Full Time,Research Engineer,200000,USD,200000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Architect,180000,USD,180000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Architect,115000,USD,115000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Architect,200000,USD,200000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Architect,115000,USD,115000,United States,100,United States,M
2023,Software Engineer,Full Time,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S
2023,EX,Full Time,Data Engineer,220000,USD,220000,United States,0,United States,M
2023,EX,Full Time,Data Engineer,205000,USD,205000,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,180000,USD,180000,United States,0,United States,M
2023,Management Information,Full Time,Data Engineer,130000,USD,130000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,200000,USD,200000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,150000,USD,150000,United States,100,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,215000,USD,215000,United States,0,United States,M
2023,Software Engineer,Full Time,Computer Vision Engineer,170000,USD,170000,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,247500,USD,247500,United States,0,United States,M
2023,Software Engineer,Full Time,Machine Learning Engineer,172200,USD,172200,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,224000,USD,224000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Scientist,176000,USD,176000,CA,0,CA,M
2023,Software Engineer,Full Time,Data Analyst,120000,USD,120000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,75000,USD,75000,United States,100,United States,M
2023,EN,Full Time,Data Engineer,1400000,INR,17022,IN,100,IN,L
2023,Software Engineer,Full Time,Applied Data Scientist,100000,AUD,68318,Australia ,100,FI,M
2023,Management Information,Full Time,AI Developer,100000,SGD,75020,FI,0,FI,M
2023,Software Engineer,Full Time,Data Analyst,140000,USD,140000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,120000,USD,120000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,128000,USD,128000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,81500,USD,81500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,115000,USD,115000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,185000,USD,185000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,140000,USD,140000,United States,0,United States,M
2023,EX,Full Time,Head of Data,329500,USD,329500,United States,0,United States,M
2023,EX,Full Time,Head of Data,269600,USD,269600,United States,0,United States,M
2023,Software Engineer,Full Time,Data Quality Analyst,100000,USD,100000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Quality Analyst,80000,USD,80000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,250000,USD,250000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,162500,USD,162500,United States,0,United States,M
2023,Management Information,Full Time,AI Developer,200000,USD,200000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,100000,USD,100000,United States,0,United States,M
2023,EX,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,EX,Full Time,Data Engineer,115000,USD,115000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,203500,USD,203500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,152000,USD,152000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,239000,USD,239000,United States,0,United States,L
2023,Software Engineer,Full Time,Data Scientist,122900,USD,122900,United States,0,United States,L
2023,Software Engineer,Full Time,Data Scientist,237000,USD,237000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Science Manager,191765,USD,191765,United States,0,United States,M
2023,Software Engineer,Full Time,Data Science Manager,134236,USD,134236,United States,0,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,190000,USD,190000,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,112000,USD,112000,United States,100,United States,M
2022,Software Engineer,Full Time,Data Scientist,84000,EUR,88256,ES,100,GB,L
2023,EN,Full Time,Data Engineer,85000,USD,85000,United States,0,United States,M
2023,EN,Full Time,Data Engineer,65000,USD,65000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,135000,USD,135000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,105500,USD,105500,United States,0,United States,M
2023,Software Engineer,Full Time,Research Engineer,293000,USD,293000,United States,0,United States,M
2023,Software Engineer,Full Time,Research Engineer,185000,USD,185000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,80000,USD,80000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,70000,USD,70000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,220000,USD,220000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,160000,USD,160000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,175000,USD,175000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,145000,USD,145000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,200000,USD,200000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,148500,USD,148500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,45000,EUR,48289,ES,0,ES,M
2023,Software Engineer,Full Time,Data Scientist,36000,EUR,38631,ES,0,ES,M
2023,Software Engineer,Full Time,Data Engineer,240500,USD,240500,United States,0,United States,L
2023,Software Engineer,Full Time,Data Engineer,123700,USD,123700,United States,0,United States,L
2023,Software Engineer,Full Time,Analytics Engineer,152900,USD,152900,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,117100,USD,117100,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,173000,USD,173000,United States,100,United States,M
2023,Software Engineer,Full Time,Analytics Engineer,113000,USD,113000,United States,100,United States,M
2023,Software Engineer,Full Time,Applied Scientist,260000,USD,260000,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,136000,USD,136000,United States,0,United States,L
2023,EX,Full Time,Data Engineer,175000,USD,175000,United States,0,United States,M
2023,EX,Full Time,Data Engineer,110000,USD,110000,United States,0,United States,M
2023,Software Engineer,Full Time,Applied Scientist,260000,USD,260000,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,136000,USD,136000,United States,0,United States,L
2023,Software Engineer,Full Time,Research Scientist,130000,USD,130000,United States,100,United States,M
2023,Software Engineer,Full Time,Research Scientist,110000,USD,110000,United States,100,United States,M
2023,Software Engineer,Full Time,Applied Scientist,205000,USD,205000,United States,100,United States,M
2023,Software Engineer,Full Time,Applied Scientist,184000,USD,184000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,149500,USD,149500,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,127075,USD,127075,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,195000,USD,195000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,160000,USD,160000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,219535,USD,219535,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,146115,USD,146115,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,170000,USD,170000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,135000,USD,135000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,175000,USD,175000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,145000,USD,145000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,199000,USD,199000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,162000,USD,162000,United States,0,United States,M
2023,Software Engineer,Full Time,Applied Scientist,222200,USD,222200,United States,0,United States,L
2023,Software Engineer,Full Time,Applied Scientist,136000,USD,136000,United States,0,United States,L
2023,EX,Full Time,Analytics Engineer,221000,USD,221000,United States,100,United States,M
2023,EX,Full Time,Analytics Engineer,153000,USD,153000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,187000,USD,187000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,128000,USD,128000,United States,0,United States,M
2023,Software Engineer,Full Time,Research Scientist,210000,USD,210000,United States,0,United States,M
2023,Software Engineer,Full Time,Research Scientist,136000,USD,136000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,175000,USD,175000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,100000,USD,100000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Engineer,179000,USD,179000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,109000,USD,109000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,245000,USD,245000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,180000,USD,180000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,142000,USD,142000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,75000,USD,75000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Manager,198800,USD,198800,United States,0,United States,M
2023,Software Engineer,Full Time,Data Manager,105200,USD,105200,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,125000,USD,125000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Analyst,112000,USD,112000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,210000,USD,210000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,155000,USD,155000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Manager,115000,USD,115000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Manager,86000,USD,86000,United States,100,United States,M
2023,Software Engineer,Full Time,Data Scientist,165000,USD,165000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Scientist,140000,USD,140000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,139000,USD,139000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,106000,USD,106000,United States,0,United States,M
2023,EN,Full Time,Data Analyst,55000,CAD,40663,CA,0,CA,L
2022,Software Engineer,Full Time,AI Developer,275000,USD,275000,CA,0,CA,S
2023,Software Engineer,FL,Machine Learning Researcher,50000,USD,50000,UA,50,UA,S
2023,Management Information,Full Time,Machine Learning Engineer,280700,USD,280700,United States,100,United States,M
2023,Management Information,Full Time,Machine Learning Engineer,150450,USD,150450,United States,100,United States,M
2023,EN,Full Time,Data Scientist,70000,CAD,51753,CA,100,CA,L
2023,Software Engineer,Full Time,Data Architect,250500,USD,250500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Architect,159500,USD,159500,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,145000,USD,145000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Engineer,115000,USD,115000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,140000,USD,140000,United States,0,United States,M
2023,Software Engineer,Full Time,Data Analyst,120000,USD,120000,United States,0,United States,M
2023,EN,Full Time,Data Scientist,130001,USD,130001,United States,100,United States,M
2023,EN,Full Time,Data Scientist,71907,USD,71907,United States,100,United States,M
